ID_JOUR	LB_JOUR	LB_JOUR_DE_LA_SEMAINE	ID_SEMAINE	LB_SEMAINE	ID_MOIS	LB_MOIS	ID_ANNEE
20070101	2007-01-01	Monday    	200701	Week 1/2007 	200701	January   	2007
20070102	2007-01-02	Tuesday   	200701	Week 1/2007 	200701	January   	2007
20070103	2007-01-03	Wednesday 	200701	Week 1/2007 	200701	January   	2007
20070104	2007-01-04	Thursday  	200701	Week 1/2007 	200701	January   	2007
20070105	2007-01-05	Friday    	200701	Week 1/2007 	200701	January   	2007
20070106	2007-01-06	Saturday  	200701	Week 1/2007 	200701	January   	2007
20070107	2007-01-07	Sunday    	200701	Week 1/2007 	200701	January   	2007
20070108	2007-01-08	Monday    	200702	Week 2/2007 	200701	January   	2007
20070109	2007-01-09	Tuesday   	200702	Week 2/2007 	200701	January   	2007
20070110	2007-01-10	Wednesday 	200702	Week 2/2007 	200701	January   	2007
20070111	2007-01-11	Thursday  	200702	Week 2/2007 	200701	January   	2007
20070112	2007-01-12	Friday    	200702	Week 2/2007 	200701	January   	2007
20070113	2007-01-13	Saturday  	200702	Week 2/2007 	200701	January   	2007
20070114	2007-01-14	Sunday    	200702	Week 2/2007 	200701	January   	2007
20070115	2007-01-15	Monday    	200703	Week 3/2007 	200701	January   	2007
20070116	2007-01-16	Tuesday   	200703	Week 3/2007 	200701	January   	2007
20070117	2007-01-17	Wednesday 	200703	Week 3/2007 	200701	January   	2007
20070118	2007-01-18	Thursday  	200703	Week 3/2007 	200701	January   	2007
20070119	2007-01-19	Friday    	200703	Week 3/2007 	200701	January   	2007
20070120	2007-01-20	Saturday  	200703	Week 3/2007 	200701	January   	2007
20070121	2007-01-21	Sunday    	200703	Week 3/2007 	200701	January   	2007
20070122	2007-01-22	Monday    	200704	Week 4/2007 	200701	January   	2007
20070123	2007-01-23	Tuesday   	200704	Week 4/2007 	200701	January   	2007
20070124	2007-01-24	Wednesday 	200704	Week 4/2007 	200701	January   	2007
20070125	2007-01-25	Thursday  	200704	Week 4/2007 	200701	January   	2007
20070126	2007-01-26	Friday    	200704	Week 4/2007 	200701	January   	2007
20070127	2007-01-27	Saturday  	200704	Week 4/2007 	200701	January   	2007
20070128	2007-01-28	Sunday    	200704	Week 4/2007 	200701	January   	2007
20070129	2007-01-29	Monday    	200705	Week 5/2007 	200701	January   	2007
20070130	2007-01-30	Tuesday   	200705	Week 5/2007 	200701	January   	2007
20070131	2007-01-31	Wednesday 	200705	Week 5/2007 	200701	January   	2007
20070201	2007-02-01	Thursday  	200705	Week 5/2007 	200702	February  	2007
20070202	2007-02-02	Friday    	200705	Week 5/2007 	200702	February  	2007
20070203	2007-02-03	Saturday  	200705	Week 5/2007 	200702	February  	2007
20070204	2007-02-04	Sunday    	200705	Week 5/2007 	200702	February  	2007
20070205	2007-02-05	Monday    	200706	Week 6/2007 	200702	February  	2007
20070206	2007-02-06	Tuesday   	200706	Week 6/2007 	200702	February  	2007
20070207	2007-02-07	Wednesday 	200706	Week 6/2007 	200702	February  	2007
20070208	2007-02-08	Thursday  	200706	Week 6/2007 	200702	February  	2007
20070209	2007-02-09	Friday    	200706	Week 6/2007 	200702	February  	2007
20070210	2007-02-10	Saturday  	200706	Week 6/2007 	200702	February  	2007
20070211	2007-02-11	Sunday    	200706	Week 6/2007 	200702	February  	2007
20070212	2007-02-12	Monday    	200707	Week 7/2007 	200702	February  	2007
