NM_CLSSFAM	NM_LSSFAM	NM_CLFAM	NM_LFAM	NM_CLRAY	NM_LRAY	NM_CLSEC	NM_LSEC	NM_CLFIL	NM_LFIL
0105010505	PANIFICATION                  	01050105	PANIFICATION                  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105010598	DIR - PANIFICATION            	01050105	PANIFICATION                  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105010599	PDV - PANIFICATION            	01050105	PANIFICATION                  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011005	CAFES TORREFIES               	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011010	FILTRES                       	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011015	CAFES SOLUBLES ET SPECIALITES 	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011020	CHICOREE                      	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011025	SPECIALITES A BASE DE CHICOREE	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011030	CHICOREE CAFE SOLUBLE         	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011035	AUTRES BOISSONS               	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011098	DIR - CAFE TORREFIE/SOLUBLE   	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011099	PDV - CAFE TORREFIE/SOLUBLE   	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011505	INFUSION                      	01050115	THES ET INFUSIONS             	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011510	THES                          	01050115	THES ET INFUSIONS             	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011515	ACCESSOIRES                   	01050115	THES ET INFUSIONS             	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011598	DIR - THES ET INFUSIONS       	01050115	THES ET INFUSIONS             	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011599	PDV - THES ET INFUSIONS       	01050115	THES ET INFUSIONS             	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012005	PETITS DEJEUNERS CHOCOLATES   	01050120	CEREALES ET POUDRES CHOCOLAT  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012010	CEREALES PRETES A CONSOMMER   	01050120	CEREALES ET POUDRES CHOCOLAT  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012015	CEREALE A CUIRE               	01050120	CEREALES ET POUDRES CHOCOLAT  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012098	DIR - CEREALES ET POUDRES CHOC	01050120	CEREALES ET POUDRES CHOCOLAT  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012099	PDV - CEREALES ET POUDRES CHOC	01050120	CEREALES ET POUDRES CHOCOLAT  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012505	CONFITURES/GELEE/MARMELADE    	01050125	CONFITURES/MIEL/P.A.TARTINER  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012510	CREME DE MARRON/PRUNEAU       	01050125	CONFITURES/MIEL/P.A.TARTINER  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012515	MIEL ET SPECIALITES           	01050125	CONFITURES/MIEL/P.A.TARTINER  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012520	PATE A TARTINER               	01050125	CONFITURES/MIEL/P.A.TARTINER  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
